Date	Global_portfolio_USD
28-Feb-18	162.6874173
30-Mar-18	158.9830282
30-Apr-18	160.2174181
31-May-18	160.7208658
29-Jun-18	159.5527341
31-Jul-18	164.0409859
31-Aug-18	165.4613001
28-Sep-18	166.459426
31-Oct-18	154.1314339
30-Nov-18	156.0755246
31-Dec-18	144.6792335
31-Jan-19	155.354771
28-Feb-19	159.9797382
29-Mar-19	161.9235999
30-Apr-19	167.5251994
31-May-19	157.4287955
28-Jun-19	167.2253894
31-Jul-19	167.4627999
30-Aug-19	163.4737624
30-Sep-19	166.9203499
31-Oct-19	171.3602105
29-Nov-19	175.3565928
31-Dec-19	181.3384745
31-Jan-20	179.1567918
28-Feb-20	164.1774196
31-Mar-20	142.5487183
30-Apr-20	157.4540611
29-May-20	164.0562897
30-Jun-20	168.6857557
31-Jul-20	176.942921
31-Aug-20	187.3835215
30-Sep-20	180.8446173
30-Oct-20	176.22526
30-Nov-20	197.5829435
31-Dec-20	206.2339719
29-Jan-21	204.367729
26-Feb-21	209.3932853
31-Mar-21	215.4898242
30-Apr-21	225.0312796
31-May-21	228.6617632
30-Jun-21	230.9037435
30-Jul-21	232.6989331
31-Aug-21	238.4649214
30-Sep-21	229.0741949
29-Oct-21	240.3411641
30-Nov-21	236.1609671
15-Dec-21	242.170875
